Date,ret
20160511  19:00:00,0.9802599467145026
20160511  20:00:00,0.9776008950027905
20160511  21:00:00,0.9772463715687347
20160512  15:30:00,0.9754701749201512
20160512  16:00:00,0.9693311060042524
20160512  17:00:00,0.9645101122608414
20160512  18:00:00,0.96708880518698
20160512  19:00:00,0.968084946658814
20160512  20:00:00,0.9729299854886729
20160512  21:00:00,0.969913599548702
20160513  15:30:00,0.9870218570555317
20160513  16:00:00,0.989091524143532
20160513  17:00:00,0.9947180209696226
20160513  18:00:00,0.9921452115431241
20160513  19:00:00,0.9901756164519729
20160513  20:00:00,0.9905547153208836
20160513  21:00:00,0.9925544716423547
20160516  15:30:00,1.00157943131655
20160516  16:00:00,1.0079856151861188
20160516  17:00:00,1.010734062503474
20160516  18:00:00,1.012457044684077
