Date,ret
20200527  19:30:00,0.9901421850073763
20200527  19:40:00,0.9922202777105609
20200527  19:50:00,0.9923937784452668
20200527  20:00:00,0.9937127129752537
20200527  20:10:00,0.9953124711493347
20200527  20:20:00,0.9946296662175325
20200527  20:30:00,0.992362444963412
20200527  20:40:00,0.9927298964558602
20200527  20:50:00,0.9952585407632075
20200527  21:00:00,0.9963443203689569
20200527  21:10:00,0.9969557593446887
20200527  21:20:00,0.9977645695247639
20200527  21:30:00,0.997433585886394
20200527  21:40:00,1.0012300381547847
20200527  21:50:00,1.0016433280408306
20200528  15:30:00,1.0056423830689902
20200528  15:40:00,1.0034351022000085
20200528  15:50:00,1.005876894323529
20200528  16:00:00,1.0064195496645663
20200528  16:10:00,1.0025931285440906
20200528  16:20:00,1.0030398160124676
20200528  16:30:00,1.0020770740808171
20200528  16:40:00,1.0058768708172927
20200528  16:50:00,1.0061077572964867
20200528  17:00:00,1.0066773226714518
20200528  17:10:00,1.0079739130872067
20200528  17:20:00,1.0075539892305112
20200528  17:30:00,1.0067368812306825
20200528  17:40:00,1.0060723096222421
20200528  17:50:00,1.0082939021926345
20200528  18:00:00,1.0078394703568363
20200528  18:10:00,1.0079977045681672
20200528  18:20:00,1.008533065729208
20200528  18:30:00,1.0082660257926246
20200528  18:40:00,1.0080106872672996
20200528  18:50:00,1.0092353873950108
20200528  19:00:00,1.0098939544327787
20200528  19:10:00,1.0086811312533004
20200528  19:20:00,1.0092051659165888
20200528  19:30:00,1.008589034233826
20200528  19:40:00,1.0096347500777667
20200528  19:50:00,1.0085644774079154
20200528  20:00:00,1.0086284727512642
20200528  20:10:00,1.0085251906174377
20200528  20:20:00,1.005866385867742
20200528  20:30:00,1.0048014234763059
20200528  20:40:00,1.0036087683184023
20200528  20:50:00,1.004155690848768
20200528  21:00:00,1.0044940313811357
20200528  21:10:00,1.0027306999192094
20200528  21:20:00,1.0007451153164508
20200528  21:30:00,1.000001589036594
20200528  21:40:00,0.993747266289573
20200528  21:50:00,0.9922772176881499
20200529  15:30:00,0.9893645654816757
20200529  15:40:00,0.9909868352002356
20200529  15:50:00,0.9888545225964438
20200529  16:00:00,0.9865469923067965
20200529  16:10:00,0.9915775480808887
20200529  16:20:00,0.9898060305547702
20200529  16:30:00,0.9886310618079849
20200529  16:40:00,0.9861270833456606
20200529  16:50:00,0.9851323697070645
20200529  17:00:00,0.9840787878236402
20200529  17:10:00,0.9866467463137663
20200529  17:20:00,0.98807973806001
20200529  17:30:00,0.9903628212809815
20200529  17:40:00,0.9903138038496018
20200529  17:50:00,0.9889001611459365
20200529  18:00:00,0.9877327469708174
20200529  18:10:00,0.9870256191780126
20200529  18:20:00,0.9877336160809582
20200529  18:30:00,0.9883917920937486
20200529  18:40:00,0.9864884771582251
20200529  18:50:00,0.9864985738497046
20200529  19:00:00,0.986637672884703
20200529  19:10:00,0.9874139269509077
20200529  19:20:00,0.9869868081448772
20200529  19:30:00,0.9855597412985434
20200529  19:40:00,0.9850088802380463
20200529  19:50:00,0.9848707427006999
20200529  20:00:00,0.987786544876341
20200529  20:10:00,0.9889563978997592
20200529  20:20:00,0.9905836283175639
20200529  20:30:00,0.9896867425434389
20200529  20:40:00,0.9871715266823016
20200529  20:50:00,0.9893951207861597
20200529  21:00:00,0.9937925445603941
20200529  21:10:00,0.9922233407870806
20200529  21:20:00,0.9934693331966025
20200529  21:30:00,0.9962322940948307
20200529  21:40:00,0.9952516836922394
20200529  21:50:00,0.9974423098468466
20200601  15:30:00,1.0012457866610585
20200601  15:40:00,1.0044893832264803
20200601  15:50:00,1.0030994748817121
20200601  16:00:00,1.0073974808947201
20200601  16:10:00,1.0080947765901231
20200601  16:20:00,1.009305917087681
20200601  16:30:00,1.013795360086366
20200601  16:40:00,1.0151230409096224
20200601  16:50:00,1.012581485851591
20200601  17:00:00,1.009249027992718
20200601  17:10:00,1.0110658106732011
20200601  17:20:00,1.0105077527093953
20200601  17:30:00,1.0125233415334383
20200601  17:40:00,1.0133788337098593
